epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5321.52,1.35339,1.08489,1.35404,0.74992,0.70002,0.76696,0.4441,1.21929,1.1839,1.17432,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,5489.04,1.34108,1.06884,1.34524,0.74353,0.70661,0.76743,0.44523,1.21615,1.15602,1.17127,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,5656.02,1.33602,1.05678,1.34334,0.75076,0.71076,0.77357,0.44964,1.20658,1.13922,1.16999,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,5823.29,1.32788,1.04829,1.34012,0.75594,0.70847,0.77138,0.44771,1.20401,1.2289,1.16743,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,5990.91,1.31792,1.03396,1.3291,0.77104,0.69663,0.774,0.4529,1.20035,1.14137,1.16714,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,6158.32,1.31878,1.02844,1.33557,0.77347,0.70842,0.77729,0.45564,1.20065,1.16032,1.16627,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,6325.3,1.31292,1.02303,1.32851,0.77184,0.71089,0.78149,0.45545,1.21227,1.09675,1.17079,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,6492.78,1.29828,1.01078,1.32164,0.76291,0.71378,0.78394,0.45908,1.20777,1.08541,1.16561,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,6659.73,1.30052,1.01179,1.31715,0.77532,0.70447,0.78015,0.45834,1.20579,0.99815,1.16496,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,6827.11,1.29284,1.00594,1.31334,0.7738,0.71321,0.7849,0.46257,1.1912,1.02808,1.16013,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,6994.5,1.28318,0.9924,1.30528,0.78721,0.70513,0.786,0.46341,1.18488,1.01066,1.15366,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,7161.84,1.28546,0.98989,1.30714,0.76958,0.72144,0.78771,0.4632,1.19041,1.00049,1.16236,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,7329.08,1.28295,0.98297,1.30954,0.77812,0.7186,0.79174,0.46347,1.18828,1.00527,1.15846,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,7496.65,1.27146,0.96178,1.29858,0.78423,0.71585,0.79041,0.46574,1.1825,1.02076,1.15438,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,7663.69,1.26664,0.95739,1.29182,0.78359,0.71811,0.78907,0.46352,1.18641,0.99603,1.15224,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,7831.09,1.26886,0.95398,1.29555,0.78633,0.72008,0.79119,0.4658,1.18083,0.98262,1.15173,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,7998.42,1.26229,0.95395,1.29149,0.78726,0.72154,0.79186,0.46779,1.18151,0.95558,1.15412,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,8165.53,1.24663,0.92265,1.28248,0.77889,0.72759,0.794,0.46664,1.18592,0.93719,1.15735,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,8332.71,1.2572,0.93135,1.28454,0.77813,0.7327,0.79576,0.46598,1.18881,0.95097,1.15694,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,8500.14,1.24453,0.92915,1.27747,0.76841,0.73973,0.79091,0.46649,1.18688,0.96368,1.15678,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,8666.81,1.23918,0.90915,1.27492,0.77325,0.73025,0.79121,0.46606,1.1927,0.9603,1.15927,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,8834.43,1.23084,0.90066,1.26695,0.79154,0.71301,0.79327,0.46867,1.18642,0.94503,1.15384,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,9003.76,1.22029,0.90251,1.26489,0.79399,0.72104,0.79525,0.46943,1.18767,0.94409,1.15436,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,9174.31,1.21397,0.87409,1.25532,0.79872,0.71875,0.79331,0.46889,1.19221,0.93993,1.15845,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,9342.8,1.21476,0.8739,1.25379,0.79072,0.72195,0.794,0.46955,1.19135,0.94892,1.15662,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,9511.35,1.21106,0.88059,1.25301,0.78997,0.72196,0.79183,0.46981,1.19071,0.98367,1.15757,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,9681.97,1.21177,0.87245,1.25473,0.78823,0.71662,0.79035,0.46957,1.18986,0.98742,1.15748,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
