epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2630.3,0.90378,0.79534,1.23415,0.90984,0.88556,0.9433,0.6869,0.97226,0.7277,1.34502,0.00121591,0.00121591,0.00121591
43,2693.02,0.87199,0.76228,1.21087,0.91127,0.874,0.93783,0.68916,0.95611,0.71213,1.33875,0.00120491,0.00120491,0.00120491
44,2755.32,0.87797,0.75588,1.21401,0.90199,0.87991,0.94223,0.70005,0.98517,0.70691,1.35961,0.00119391,0.00119391,0.00119391
45,2817.83,0.86415,0.74783,1.19613,0.90796,0.88145,0.94768,0.70096,0.98577,0.68898,1.35879,0.0011829,0.0011829,0.0011829
46,2880.13,0.87072,0.72992,1.20253,0.89842,0.89721,0.94189,0.69209,0.97163,0.67721,1.35271,0.0011719,0.0011719,0.0011719
47,2942.16,0.85413,0.74008,1.20429,0.91616,0.86385,0.94484,0.70527,0.97685,0.68664,1.35459,0.0011609,0.0011609,0.0011609
48,3004.61,0.86084,0.71166,1.1959,0.90712,0.89787,0.94961,0.70848,0.94114,0.66696,1.33914,0.0011499,0.0011499,0.0011499
49,3066.97,0.85674,0.70976,1.20425,0.91016,0.88897,0.9489,0.70451,0.94756,0.66151,1.34578,0.00113889,0.00113889,0.00113889
50,3128.89,0.84341,0.70234,1.18014,0.91712,0.89059,0.94441,0.7038,0.93896,0.65651,1.33479,0.00112789,0.00112789,0.00112789
51,3191.34,0.84153,0.6951,1.19601,0.87882,0.89715,0.93637,0.70511,0.91557,0.65289,1.30787,0.00111689,0.00111689,0.00111689
52,3253.67,0.83796,0.69461,1.17797,0.90809,0.89144,0.95118,0.71714,0.9639,0.64165,1.35721,0.00110589,0.00110589,0.00110589
53,3316.34,0.83275,0.70339,1.17973,0.9118,0.88869,0.94596,0.71091,0.93529,0.63183,1.30394,0.00109489,0.00109489,0.00109489
54,3378.7,0.82018,0.67449,1.17434,0.90335,0.892,0.94062,0.70317,0.95171,0.62944,1.33543,0.00108388,0.00108388,0.00108388
55,3441.17,0.81841,0.66954,1.16838,0.91668,0.89416,0.94901,0.71454,0.93209,0.64555,1.30824,0.00107288,0.00107288,0.00107288
56,3503.35,0.81391,0.67681,1.16706,0.92123,0.90961,0.95249,0.70827,0.95147,0.627,1.3532,0.00106188,0.00106188,0.00106188
57,3565.49,0.80489,0.65367,1.16077,0.93095,0.87854,0.9521,0.7159,0.91476,0.6211,1.31326,0.00105088,0.00105088,0.00105088
58,3627.92,0.8017,0.65389,1.15502,0.89516,0.92082,0.94482,0.71606,0.91365,0.63546,1.31358,0.00103987,0.00103987,0.00103987
59,3690.35,0.79191,0.64684,1.15956,0.93108,0.89674,0.95078,0.71914,0.90395,0.61178,1.30173,0.00102887,0.00102887,0.00102887
60,3752.68,0.79225,0.64784,1.15517,0.90825,0.91063,0.94796,0.71107,0.91816,0.63364,1.3183,0.00101787,0.00101787,0.00101787
61,3815.11,0.7955,0.65823,1.1528,0.90798,0.90626,0.94251,0.70719,0.94025,0.62754,1.33914,0.00100687,0.00100687,0.00100687
62,3877.25,0.7833,0.6386,1.14361,0.92581,0.88697,0.94657,0.7228,0.91847,0.62698,1.32409,0.000995866,0.000995866,0.000995866
63,3935.49,0.76411,0.63522,1.13325,0.93347,0.90666,0.9492,0.72037,0.90669,0.61094,1.31226,0.000984864,0.000984864,0.000984864
64,3997.79,0.7762,0.6199,1.13796,0.91915,0.90513,0.95634,0.72362,0.92748,0.58719,1.32391,0.000973861,0.000973861,0.000973861
65,4060.01,0.7763,0.62274,1.14197,0.92496,0.91858,0.95363,0.72492,0.91682,0.58375,1.3344,0.000962859,0.000962859,0.000962859
66,4122.38,0.76358,0.61305,1.13389,0.91979,0.91751,0.95015,0.72424,0.88652,0.58579,1.28712,0.000951857,0.000951857,0.000951857
67,4184.74,0.75056,0.60089,1.12838,0.92102,0.90332,0.95155,0.71917,0.91472,0.59252,1.30676,0.000940855,0.000940855,0.000940855
68,4247.22,0.75304,0.5896,1.12988,0.88639,0.92052,0.94852,0.72772,0.8845,0.60004,1.28799,0.000929853,0.000929853,0.000929853
69,4309.99,0.77058,0.61325,1.13597,0.9237,0.91472,0.95128,0.72958,0.875,0.58011,1.26529,0.00091885,0.00091885,0.00091885
70,4372.26,0.73903,0.59553,1.11766,0.89138,0.93033,0.94861,0.72406,0.92591,0.58046,1.33539,0.000907848,0.000907848,0.000907848
71,4435.8,0.73866,0.58245,1.11274,0.92147,0.90918,0.95149,0.7251,0.90958,0.57967,1.30611,0.000896846,0.000896846,0.000896846
72,4497.96,0.73765,0.58865,1.1206,0.93786,0.88283,0.94691,0.71966,0.93293,0.58044,1.32699,0.000885844,0.000885844,0.000885844
73,4560.38,0.73358,0.56771,1.10562,0.92939,0.90473,0.94964,0.72435,0.90379,0.58863,1.30342,0.000874842,0.000874842,0.000874842
74,4622.44,0.72319,0.562,1.10406,0.93244,0.8975,0.94914,0.72811,0.90565,0.5736,1.31887,0.000863839,0.000863839,0.000863839
75,4684.98,0.73045,0.57,1.11199,0.92936,0.89743,0.95354,0.72553,0.92583,0.5743,1.32008,0.000852837,0.000852837,0.000852837
76,4747.52,0.72816,0.57074,1.10458,0.91125,0.91351,0.95167,0.73062,0.91215,0.57418,1.3146,0.000841835,0.000841835,0.000841835
77,4810.05,0.74181,0.5702,1.12234,0.89916,0.93508,0.95444,0.72726,0.91942,0.561,1.31575,0.000830833,0.000830833,0.000830833
78,4872.24,0.73291,0.57218,1.10689,0.92892,0.9206,0.95949,0.73594,0.89935,0.53773,1.31203,0.000819831,0.000819831,0.000819831
79,4934.75,0.70399,0.54528,1.09131,0.92785,0.91686,0.95181,0.73134,0.87443,0.55583,1.27686,0.000808828,0.000808828,0.000808828
80,4996.71,0.72916,0.5715,1.10725,0.93901,0.91351,0.95798,0.74431,0.87655,0.53408,1.28497,0.000797826,0.000797826,0.000797826
81,5059.1,0.71584,0.54266,1.09543,0.91818,0.93538,0.96324,0.74509,0.86602,0.53626,1.2705,0.000786824,0.000786824,0.000786824
82,5121.57,0.71707,0.54832,1.10667,0.92576,0.93014,0.96055,0.73547,0.87121,0.54244,1.27748,0.000775822,0.000775822,0.000775822
83,5184.05,0.70238,0.54948,1.09131,0.91001,0.92991,0.95608,0.74239,0.85797,0.54549,1.25441,0.00076482,0.00076482,0.00076482
84,5246.09,0.69159,0.54725,1.08318,0.90254,0.9331,0.95956,0.74067,0.86334,0.54385,1.27135,0.000753817,0.000753817,0.000753817
85,5308.37,0.69826,0.53709,1.09528,0.93482,0.88959,0.95503,0.73686,0.8746,0.55672,1.27958,0.000742815,0.000742815,0.000742815
86,5370.54,0.69251,0.53513,1.08821,0.90266,0.9322,0.9564,0.74296,0.84876,0.54332,1.25728,0.000731813,0.000731813,0.000731813
87,5432.35,0.6914,0.53628,1.08,0.93529,0.9293,0.96357,0.74606,0.85371,0.52145,1.26645,0.000720811,0.000720811,0.000720811
88,5494.42,0.68251,0.52694,1.07856,0.93593,0.92274,0.96045,0.74187,0.88149,0.53207,1.28461,0.000709809,0.000709809,0.000709809
89,5556.62,0.69004,0.52892,1.08843,0.92229,0.92891,0.95387,0.73071,0.87619,0.53689,1.28405,0.000698806,0.000698806,0.000698806
90,5618.8,0.6917,0.53299,1.08545,0.92006,0.92316,0.95842,0.73436,0.88029,0.5318,1.29742,0.000687804,0.000687804,0.000687804
91,5681.06,0.67594,0.51327,1.07504,0.93009,0.92189,0.95612,0.73755,0.8784,0.54065,1.28192,0.000676802,0.000676802,0.000676802
92,5743.36,0.66643,0.5166,1.06753,0.9137,0.92929,0.95925,0.74062,0.86818,0.53578,1.28703,0.0006658,0.0006658,0.0006658
93,5800.3,0.66431,0.5119,1.06835,0.93462,0.9174,0.95561,0.73532,0.88703,0.52362,1.30142,0.000654798,0.000654798,0.000654798
94,5858.68,0.68298,0.50893,1.07435,0.908,0.93615,0.95492,0.73505,0.87967,0.52325,1.29606,0.000643795,0.000643795,0.000643795
95,5920.71,0.65802,0.50173,1.06619,0.92016,0.91345,0.95178,0.73507,0.85754,0.52571,1.27969,0.000632793,0.000632793,0.000632793
96,5982.34,0.67065,0.50595,1.07031,0.90867,0.92151,0.9511,0.73837,0.85213,0.51867,1.26481,0.000621791,0.000621791,0.000621791
97,6044.09,0.67148,0.50714,1.07079,0.93521,0.8974,0.95123,0.73036,0.87257,0.54307,1.28211,0.000610789,0.000610789,0.000610789
98,6105.76,0.6476,0.49225,1.06052,0.93621,0.90567,0.95524,0.74259,0.84063,0.52694,1.24992,0.000599787,0.000599787,0.000599787
99,6167.65,0.64091,0.48371,1.05514,0.9168,0.92661,0.95937,0.74792,0.8427,0.50913,1.25257,0.000588784,0.000588784,0.000588784
100,6229.63,0.64394,0.48985,1.06022,0.91452,0.92758,0.95341,0.74853,0.83224,0.52588,1.24253,0.000577782,0.000577782,0.000577782
101,6291.64,0.64611,0.48451,1.05659,0.92343,0.92173,0.94927,0.73639,0.86406,0.5347,1.2752,0.00056678,0.00056678,0.00056678
102,6353.67,0.6358,0.48691,1.05029,0.94553,0.90313,0.95365,0.74139,0.85927,0.52823,1.2766,0.000555778,0.000555778,0.000555778
103,6415.56,0.62916,0.47429,1.05015,0.91664,0.92744,0.95402,0.74192,0.85819,0.52216,1.2832,0.000544776,0.000544776,0.000544776
104,6477.61,0.63352,0.46877,1.04929,0.92042,0.91631,0.94931,0.73343,0.86474,0.53656,1.28663,0.000533773,0.000533773,0.000533773
105,6539.57,0.62516,0.48064,1.04732,0.91383,0.93324,0.95364,0.73505,0.88418,0.52137,1.30162,0.000522771,0.000522771,0.000522771
106,6601.68,0.64392,0.49019,1.05544,0.93371,0.89934,0.94843,0.7403,0.85272,0.52658,1.28692,0.000511769,0.000511769,0.000511769
107,6663.95,0.62331,0.464,1.04113,0.91786,0.90827,0.94693,0.73319,0.86002,0.53455,1.28075,0.000500767,0.000500767,0.000500767
108,6726.14,0.628,0.45989,1.04193,0.93497,0.89814,0.96071,0.7405,0.86095,0.51608,1.28047,0.000489765,0.000489765,0.000489765
109,6788.1,0.61275,0.45869,1.04115,0.90948,0.91762,0.94884,0.73375,0.85383,0.54037,1.27913,0.000478762,0.000478762,0.000478762
110,6849.91,0.6181,0.4592,1.03886,0.93913,0.90435,0.95108,0.73956,0.84851,0.5206,1.26903,0.00046776,0.00046776,0.00046776
111,6911.59,0.60486,0.44094,1.03205,0.9195,0.92425,0.94939,0.73482,0.85057,0.51332,1.2785,0.000456758,0.000456758,0.000456758
112,6973.7,0.61371,0.45813,1.03783,0.92902,0.91475,0.95649,0.73737,0.8427,0.52731,1.25904,0.000445756,0.000445756,0.000445756
113,7035.83,0.59758,0.44981,1.03346,0.93747,0.89112,0.95385,0.73305,0.8523,0.52965,1.27315,0.000434754,0.000434754,0.000434754
114,7097.94,0.59849,0.44984,1.02257,0.93369,0.91115,0.95725,0.73648,0.85159,0.51749,1.26954,0.000423751,0.000423751,0.000423751
115,7160.07,0.59975,0.43821,1.02812,0.93903,0.90803,0.9559,0.73749,0.86218,0.5146,1.27152,0.000412749,0.000412749,0.000412749
116,7222.28,0.5869,0.43525,1.01891,0.91718,0.93264,0.94911,0.73634,0.86558,0.51823,1.29002,0.000401747,0.000401747,0.000401747
117,7284.53,0.59571,0.43808,1.02549,0.92256,0.92172,0.95184,0.73789,0.84067,0.52196,1.2743,0.000390745,0.000390745,0.000390745
118,7346.27,0.58524,0.42352,1.02465,0.92997,0.91817,0.95337,0.73783,0.85616,0.508,1.28523,0.000379743,0.000379743,0.000379743
119,7408.39,0.58177,0.42591,1.02418,0.93157,0.91428,0.95668,0.7384,0.85391,0.50658,1.28374,0.00036874,0.00036874,0.00036874
120,7470.53,0.59007,0.43038,1.01893,0.93275,0.90102,0.95471,0.73466,0.85329,0.51413,1.28145,0.000357738,0.000357738,0.000357738
121,7532.4,0.57238,0.41687,1.01194,0.91943,0.923,0.94942,0.73159,0.85932,0.51972,1.28449,0.000346736,0.000346736,0.000346736
122,7594.26,0.57914,0.42729,1.0203,0.91397,0.91954,0.94406,0.7268,0.85779,0.5164,1.28493,0.000335734,0.000335734,0.000335734
123,7656.53,0.58743,0.43601,1.02397,0.93079,0.91642,0.95104,0.73257,0.86046,0.49526,1.28596,0.000324732,0.000324732,0.000324732
124,7718.52,0.57537,0.42301,1.01992,0.93271,0.91536,0.95049,0.73029,0.85169,0.49226,1.27939,0.000313729,0.000313729,0.000313729
125,7780.23,0.57039,0.41435,1.00565,0.93237,0.90978,0.95413,0.72944,0.8526,0.50346,1.28115,0.000302727,0.000302727,0.000302727
